y1,y2,y3,y4,gen,race,income
50,50,0,0,1,0,53.750240763509
15,50,50,0,0,1,52.4523408037185
0,0,0,0,1,1,51.9578163226585
10,40,50,0,0,1,53.5350410465175
0,0,0,0,1,1,49.0329626770855
100,99,100,95,1,0,51.3676903733125
100,100,99,95,0,0,45.0791919829908
90,90,100,100,1,1,49.6482867248679
50,100,0,0,0,1,53.842964674621
100,0,100,0,0,1,49.2212154921959
100,0,100,100,1,1,49.1642640968388
10,0,20,20,0,1,45.7218639110051
100,100,0,100,1,1,50.4833465801735
50,0,0,0,0,1,49.4473011355174
25,96,0,4,0,1,50.4510280702995
100,100,52,100,0,1,48.2910354333044
0,50,100,75,0,1,45.791443145629
0,0,95,100,0,1,52.340514709422
0,0,0,0,1,1,52.2600992661985
0,0,1,8,0,1,35.4953256448037
100,50,0,100,1,1,31.8374321404132
100,100,99,100,1,1,47.8372728829281
75,99,99,0,0,0,52.1778656084735
100,98,99,95,1,0,46.8190670011299
98,80,50,50,1,0,37.5692545616529
50,100,90,0,1,0,48.1246985705994
65,90,100,50,0,1,45.3281113616505
100,0,0,0,1,0,48.6759012000021
50,100,90,90,0,0,47.9715158340019
100,50,100,100,1,1,45.3477590117704
0,100,100,75,0,1,53.656634620756
0,100,70,0,0,1,48.6873968210325
0,60,40,100,1,1,51.576982162957
50,100,100,100,1,1,50.602549946771
100,50,89,0,1,1,46.7179767139627
100,32,60,60,0,1,50.578367208359
0,100,85,99,1,1,50.070520771555
100,0,25,5,1,1,45.7152129516635
0,75,78,75,1,1,50.4759097087145
60,45,45,90,1,0,49.999335580119
10,0,0,100,1,1,49.400230559033
100,0,100,100,0,0,43.6555777726932
100,10,90,0,1,1,48.6496913229859
100,0,100,100,0,1,48.7775976300374
99,99,99,2,1,1,48.5470137373916
0,0,50,100,0,1,45.8717089738715
50,100,0,100,1,1,51.7573959123475
75,70,25,80,0,1,46.2535468657063
0,100,100,0,1,1,48.4073165206835
100,100,100,100,0,1,49.8540302340333
100,99,75,50,0,0,48.9074518570959
0,15,0,1,1,1,44.4294097698332
90,50,50,50,1,0,42.9441136542915
70,75,55,0,0,1,44.9894368300334
0,100,100,100,0,1,47.2116936606333
0,80,100,90,0,1,48.3469333363199
100,0,100,0,0,1,48.6039777422259
0,0,0,0,1,1,46.5160403055971
75,35,50,0,0,0,43.9195739388504
75,0,0,100,0,1,51.089225677923
0,100,100,0,1,1,51.028626484926
100,0,80,70,0,1,49.5952909460305
0,100,100,100,1,1,51.8873829038095
50,30,70,30,0,1,53.846720725899
80,99,100,95,0,1,41.5989640001597
0,98,80,90,1,1,40.1538286500341
92,0,100,100,1,1,51.33166117136
1,0,0,0,1,1,40.9048140495044
100,99,80,90,1,0,53.0765932741395
50,90,90,90,0,0,53.446335773434
90,0,1,1,0,0,55.270976504708
100,90,1,99,1,0,51.1355309050005
95,75,40,98,0,0,49.7141961800844
100,100,100,0,1,0,51.045131996143
90,1,50,40,1,0,50.37713958447
100,100,50,0,1,0,51.173566582487
98,95,50,75,0,0,47.8231945540266
75,75,100,100,1,0,51.3494606032665
0,20,1,1,1,1,52.109801745597
100,90,80,100,0,0,51.914582146811
100,100,75,100,0,0,49.1046424446057
1,50,0,50,0,0,53.8173724936145
98,100,10,0,1,0,51.0088625856755
99,50,70,20,1,0,46.1469884531261
80,50,99,99,1,0,49.1167925880898
99,99,100,99,0,0,49.1168950762376
85,50,100,0,0,0,55.134954634368
100,100,100,100,1,0,50.6064100824865
0,100,69,0,0,0,48.8577083811894
90,95,95,92,1,0,46.1897426414545
50,100,99,100,1,0,50.914591478769
